snapshot_date,ticker,name,category,mer,benchmark,latest_nav,as_of,volatility,max_drawdown,current_drawdown,sharpe,sortino,positive_months,history_years,return_1w,return_1m,return_3m,return_6m,return_1y,return_ytd,return_3y_annualized,return_5y_annualized,return_10y_annualized,momentum_score,risk_score,cost_score,quality_score,overall_score,signal,category_rank,data_source
2026-07-21,ZEQT.TO,BMO All-Equity ETF,All Equity,0.2,VEQT.TO,172.30032382295045,2026-07-21,10.630199072921902,-20.25633428827608,-18.127538983243653,0.9051556352830472,1.5142793330312054,62.31884057971014,5.790554414784395,-0.2911546201129211,-0.1988753420974487,-6.9753956133219885,-8.768079819965713,-9.906933324574874,-10.704174520291565,11.237199746602888,8.418716206401955,,63.33333333333332,70.0,83.33333333333334,77.5,70.08333333333333,Weakening,1,DEMO â€” synthetic data
2026-07-21,VEQT.TO,Vanguard All-Equity ETF Portfolio,All Equity,0.22,VEQT.TO,122.12231585378665,2026-07-21,5.910272560528584,-12.58019337159214,-12.11733612624012,0.5911694879730016,0.9508411466373102,56.52173913043478,5.790554414784395,-0.1263739073943948,-2.2684185408529567,-6.492891587247218,-11.799366107969234,-3.027437540576894,-10.167035322945594,5.486494006760556,4.689810117900684,,70.0,81.66666666666666,33.333333333333336,44.99999999999999,66.08333333333333,Weakening,2,DEMO â€” synthetic data
2026-07-21,XEQT.TO,iShares Core Equity ETF Portfolio,All Equity,0.2,VEQT.TO,121.2465071477798,2026-07-21,8.150288058133706,-14.568891522723147,-14.228027490003337,0.4444342802589898,0.7143986420076495,62.31884057971014,5.790554414784395,-0.6496617453663034,-2.489715805734727,-1.214583815643222,-4.195725217118229,-11.20934973419252,-4.041968917012639,-0.4040805973944961,3.735262130245043,,66.66666666666666,48.33333333333333,83.33333333333334,77.5,63.83333333333333,Weakening,3,DEMO â€” synthetic data
2026-07-21,XBAL.TO,iShares Core Balanced ETF Portfolio,Balanced,0.2,VBAL.TO,189.1565434499205,2026-07-21,5.867817589862436,-9.329596908369384,0.0,1.833832913706368,3.344126157629073,68.11594202898551,5.790554414784395,1.2203412002234515,1.2702525806523424,2.786422366738872,3.968157972245212,12.2786955719838,2.468134338199679,5.556683890598735,9.854754645335406,,76.66666666666666,91.66666666666666,83.33333333333334,88.33333333333333,84.08333333333333,Strong trend,1,DEMO â€” synthetic data
2026-07-21,ZBAL.TO,BMO Balanced ETF,Balanced,0.2,VBAL.TO,204.31230084174476,2026-07-21,8.532393198625092,-8.88165946656988,-3.736165392678081,1.4236716788615127,2.5016887388589693,66.66666666666666,5.790554414784395,-0.8230408996374838,-2.144131172830088,-2.735145860355581,1.8758342841251,14.225682366466597,2.6964874429551644,11.831162724574408,12.272852090674814,,63.33333333333333,75.0,83.33333333333334,66.66666666666666,70.75,Neutral,2,DEMO â€” synthetic data
2026-07-21,VBAL.TO,Vanguard Balanced ETF Portfolio,Balanced,0.24,VBAL.TO,101.98428704774231,2026-07-21,20.756165813536967,-44.97592963220695,-14.254807330996922,0.1206112568790103,0.2086798280410478,52.17391304347826,5.790554414784395,-3.0128462490366825,-4.104670711800152,0.4234880287236953,6.374166635224188,3.477580941049707,-4.081364668854704,5.045026418721954,6.544359900743668,,60.0,33.33333333333333,33.333333333333336,44.99999999999999,45.16666666666666,High risk,3,DEMO â€” synthetic data
2026-07-21,VAB.TO,Vanguard Canadian Aggregate Bond Index,Bonds,0.09,ZAG.TO,307.1313543003115,2026-07-21,18.586752070166728,-24.543318522389747,-7.399640665948926,1.1042798938320726,1.9152192260654164,62.31884057971014,5.790554414784395,0.4885136854616112,-0.6128980883826185,2.5342063705498408,32.00585794852113,31.366434918957587,35.856210912937804,20.657278810222834,20.10813301041885,,96.66666666666666,85.0,83.33333333333334,88.33333333333333,89.74999999999999,Strong trend,1,DEMO â€” synthetic data
2026-07-21,ZAG.TO,BMO Aggregate Bond Index,Bonds,0.09,ZAG.TO,118.37976982349612,2026-07-21,5.959084812981425,-8.415996786566527,-2.1070937650216948,0.5146886798908491,0.897195314590998,55.072463768115945,5.790554414784395,-1.0489257547024566,-0.7591613849217693,-1.8980028145580752,1.4734714325767229,3.644714139851013,4.161475512042623,4.8092025047937526,4.153389300636956,,33.33333333333333,81.66666666666666,83.33333333333334,66.66666666666666,61.08333333333332,Neutral,2,DEMO â€” synthetic data
2026-07-21,XBB.TO,iShares Core Canadian Universe Bond Index,Bonds,0.1,ZAG.TO,83.13698500507194,2026-07-21,21.046190496265236,-61.96862916352314,-31.867572553910605,-0.0407513530192199,-0.0702441910905828,47.82608695652174,5.790554414784395,-1.9487422756216064,4.689559862155002,-1.1083805504049191,12.597036402228843,28.03107080820397,11.676433002391429,-0.3226284823160563,-4.664695677321551,,70.0,33.33333333333333,33.333333333333336,44.99999999999999,49.16666666666666,High risk,3,DEMO â€” synthetic data
2026-07-21,XIC.TO,iShares Core S&P TSX Capped Composite,Canada Equity,0.06,XIC.TO,132.3947774708479,2026-07-21,13.64664540552278,-27.35010340894973,-4.185650193495616,0.4108565771598487,0.7196196536683632,57.971014492753625,5.790554414784395,-1.0170926115116607,-1.641381712074208,3.2795896843225814,11.85076614188041,31.58298019816663,15.585109123417972,4.020281545482662,3.3605035078337897,,93.33333333333331,55.0,49.99999999999999,88.33333333333333,72.91666666666666,Strong trend,1,DEMO â€” synthetic data
